config_key,K,lam_lin,lam_nonlin,seed,pred_r2,sharpe,phi,drift
"(2, 0.001, 1e-06)",2,0.001,1e-06,10,0.007387638092041016,0.6988353926094467,0.6710135019593941,0.3234549918355105
"(2, 0.001, 1e-06)",2,0.001,1e-06,30,0.01144176721572876,0.6688967428683336,0.6772570502810847,0.6616046979866768
"(2, 0.001, 1e-06)",2,0.001,1e-06,45,0.004842042922973633,0.647244952790673,0.6071149310812837,0.44933338497843506
"(2, 0.001, 1e-06)",2,0.001,1e-06,99,0.011565744876861572,0.6569076275848222,0.6832405946626959,0.6737723691680623
"(2, 0.001, 1e-06)",2,0.001,1e-06,2048,0.011135280132293701,0.6549457885659256,0.5125442676998181,0.4498133810750376
"(2, 0.001, 1e-05)",2,0.001,1e-05,10,0.006087899208068848,0.6237198226722995,0.861635912171942,0.9744193175294524
"(2, 0.001, 1e-05)",2,0.001,1e-05,30,0.015203654766082764,0.5756081310624516,0.7641927421232374,0.9888463624306756
"(2, 0.001, 1e-05)",2,0.001,1e-05,45,0.014349281787872314,0.6087098347106991,0.9579670243196837,0.9991469940693718
"(2, 0.001, 1e-05)",2,0.001,1e-05,99,0.01155167818069458,0.9748254264924356,0.05512013635855567,0.8517278884776722
"(2, 0.001, 1e-05)",2,0.001,1e-05,2048,0.016359567642211914,0.9789975966793298,0.44868438972824015,0.8569860542306222
"(2, 0.001, 5e-05)",2,0.001,5e-05,10,0.019560158252716064,0.6293184069300191,0.008424237501701686,1.00226528087379
"(2, 0.001, 5e-05)",2,0.001,5e-05,30,0.018610894680023193,0.6240124647548246,0.8299921909319412,0.995784779082405
"(2, 0.001, 5e-05)",2,0.001,5e-05,45,0.018191874027252197,0.6214912474457721,0.6980736973504774,0.9986337395502214
"(2, 0.001, 5e-05)",2,0.001,5e-05,99,0.01412135362625122,0.613370008576545,0.7329287311385219,0.997796544679478
"(2, 0.001, 5e-05)",2,0.001,5e-05,2048,0.013571381568908691,1.0014632030996018,0.14081553816699097,0.8489723434543406
"(2, 0.001, 0.0001)",2,0.001,0.0001,10,0.018749773502349854,0.6098927397240508,0.4498621269898691,0.9997236846212256
"(2, 0.001, 0.0001)",2,0.001,0.0001,30,0.017995893955230713,0.6142822550808913,0.7931705539767514,0.9951771202027775
"(2, 0.001, 0.0001)",2,0.001,0.0001,45,0.019194841384887695,0.6377441638141467,0.2739066365816179,1.0012877558125326
"(2, 0.001, 0.0001)",2,0.001,0.0001,99,0.014880239963531494,0.6056719895067046,0.6944012075133795,0.9978325036327373
"(2, 0.001, 0.0001)",2,0.001,0.0001,2048,0.013639211654663086,0.9953380621472148,0.1347075910122955,0.8489883697407472
"(2, 0.001, 0.0005)",2,0.001,0.0005,10,-0.009464025497436523,0.8871824312246016,0.00012193098348756491,0.26406949466361257
"(2, 0.001, 0.0005)",2,0.001,0.0005,30,0.019653618335723877,0.5923739086551799,0.44757397691330875,0.9976215913837436
"(2, 0.001, 0.0005)",2,0.001,0.0005,45,0.019475102424621582,0.6398374209142734,0.3776438638921436,1.0009623319808518
"(2, 0.001, 0.0005)",2,0.001,0.0005,99,0.01997661590576172,0.6914784608712273,0.09501136506091487,0.9986923102345319
"(2, 0.001, 0.0005)",2,0.001,0.0005,2048,0.019374310970306396,0.6280070440000386,0.844453899955891,0.99634096634284
"(2, 0.005, 1e-06)",2,0.005,1e-06,10,0.008204042911529541,0.6788721294892339,0.6730586410912911,0.48115824296740806
"(2, 0.005, 1e-06)",2,0.005,1e-06,30,0.013145983219146729,0.6652956761540136,0.6605076303416746,0.6922565883381576
"(2, 0.005, 1e-06)",2,0.005,1e-06,45,0.007740795612335205,0.6443116107674919,0.6578926575485137,0.5250837900312105
"(2, 0.005, 1e-06)",2,0.005,1e-06,99,0.018316686153411865,0.6134689022035206,0.846796153201734,0.9206166071455544
"(2, 0.005, 1e-06)",2,0.005,1e-06,2048,0.011441409587860107,0.6711078193384005,0.47595665921033264,0.5222551057108967
"(2, 0.005, 1e-05)",2,0.005,1e-05,10,0.016628503799438477,0.936480246605666,0.19509970532174392,0.9093626110496521
"(2, 0.005, 1e-05)",2,0.005,1e-05,30,0.0137442946434021,0.98272062396928,0.011239272393639527,0.8692567139253224
"(2, 0.005, 1e-05)",2,0.005,1e-05,45,0.016746819019317627,1.0079879232614215,0.1548340303362416,0.8377396879595208
"(2, 0.005, 1e-05)",2,0.005,1e-05,99,0.015084683895111084,0.9932461271507677,0.0010129993411469864,0.8838904802366474
"(2, 0.005, 1e-05)",2,0.005,1e-05,2048,0.017033278942108154,0.9846549211536912,0.6590367251603932,0.8993959014995953
"(2, 0.005, 5e-05)",2,0.005,5e-05,10,0.018407344818115234,0.7838308505685997,0.7124030653397379,0.9867481335568455
