Model,K,λ_lin,λ_nonlin,Total_R2,Pred_R2,Sharpe,CSPE,NL_frac,drift_rel,drift_capped,Collapsed,p_dm_vs_pca,p_dm_vs_ipca,p_dm_vs_cae_nl
PCA,2,-,-,0.2272,0.0091,-0.4122,0.0120,-,-,,False,-,-,-
IPCA,2,-,-,0.0474,-0.0096,0.8903,0.0167,-,-,,False,-,-,-
ResCAE-Fixed,2,frozen,1e-06,0.1636,0.0111,0.6862,0.0115,0.458,0.0000,,False,0.6732371894175879,0.017437012379522,
ResCAE,2,1e-03,1e-05,0.1936,0.0149,0.7310,0.0101,0.535,0.9342,False,False,0.47641349906908625,0.07467426246830611,0.7568236276968334
CAE-NL (robustness),2,-,1e-05,0.1541,0.0161,COLLAPSED,0.0090,1.000,-,,True,-,-,-
PCA,3,-,-,0.2287,0.0090,-0.3505,0.0120,-,-,,False,-,-,-
IPCA,3,-,-,0.0633,-0.0084,0.9189,0.0165,-,-,,False,-,-,-
ResCAE-Fixed,3,frozen,1e-06,0.1303,-0.0005,0.9069,0.0138,0.328,0.0000,,False,0.1974428137458042,0.5472828358755653,
ResCAE,3,1e-01,1e-05,0.1608,0.0155,0.9787,0.0095,0.383,0.8045,False,False,0.15065798391945084,0.019816954860559788,0.9106254362193864
CAE-NL (robustness),3,-,1e-05,0.1559,0.0152,COLLAPSED,0.0094,1.000,-,,True,-,-,-
PCA,5,-,-,0.2623,0.0088,-0.3738,0.0121,-,-,,False,-,-,-
IPCA,5,-,-,0.0915,-0.0088,0.9287,0.0167,-,-,,False,-,-,-
ResCAE-Fixed,5,frozen,1e-05,0.1811,0.0102,0.9122,0.0116,0.220,0.0000,,False,0.8209421803677819,0.08789020775359391,
ResCAE,5,1e-01,5e-05,0.1783,0.0183,1.0759,0.0088,0.264,0.8700,False,False,0.02821513596436076,0.01196443160871885,0.022038592639266774
CAE-NL (robustness),5,-,1e-05,0.1552,0.0147,COLLAPSED,0.0096,1.000,-,,True,-,-,-
PCA,8,-,-,0.2838,0.0084,-0.4083,0.0122,-,-,,False,-,-,-
IPCA,8,-,-,0.1057,-0.0106,1.0146,0.0173,-,-,,False,-,-,-
ResCAE-Fixed,8,frozen,1e-05,0.2081,0.0162,1.0239,0.0102,0.253,0.0000,,False,0.3121799265107319,0.05433536471936451,
ResCAE,8,1e-01,1e-06,0.2043,0.0161,0.8027,0.0104,0.688,0.7397,False,False,0.2925015435067726,0.044302861469363464,0.4066630873817787
CAE-NL (robustness),8,-,1e-04,0.1527,0.0135,COLLAPSED,0.0101,1.000,-,,True,-,-,-
PCA,10,-,-,0.2931,0.0089,-0.2667,0.0120,-,-,,False,-,-,-
IPCA,10,-,-,0.1176,-0.0110,1.0756,0.0175,-,-,,False,-,-,-
ResCAE-Fixed,10,frozen,1e-06,0.1966,0.0184,0.9738,0.0092,0.375,0.0000,,False,0.057435595417919094,0.009102464520869713,
ResCAE,10,1e-01,5e-05,0.1928,0.0198,0.9305,0.0079,0.292,0.8654,False,False,0.000268887558585007,0.0015200465999600787,0.03309484905397775
CAE-NL (robustness),10,-,5e-04,0.1523,0.0150,COLLAPSED,0.0095,1.000,-,,True,-,-,-
