Model,K,λ_lin,λ_nonlin,Total_R2,Pred_R2,Sharpe,CSPE,NL_frac,drift_rel,Collapsed,N_predictions,selected_by_validation
PCA,2,,,0.32945028366491536,0.014669971743618171,0.43709199794575293,0.00771870576944106,,,False,43800,True
IPCA,2,,,0.08028818492037015,0.0015948693298371008,0.5252675100488787,0.012662596896082701,,,False,43800,True
AE,2,,,0.3087981939315796,-0.008843302726745605,0.5134455248904332,0.01495132501033947,,,False,43800,True
ResCAE-Fixed,2,frozen,1e-06,0.21132344007492065,0.009436070919036865,0.5026986604268404,0.010155336397615082,0.2335134030645413,0.0,False,43800,False
ResCAE-Fixed,2,frozen,1e-05,0.2094443440437317,0.010564684867858887,0.5321910948492353,0.009473344659478359,8.401607597309958e-08,0.0,False,43800,True
ResCAE-Fixed,2,frozen,5e-05,0.20040392875671387,0.006678104400634766,0.5168163310904895,0.01052029144226875,9.138464161998221e-08,0.0,False,43800,False
ResCAE-Fixed,2,frozen,0.0001,0.20006775856018066,0.00648123025894165,0.5066341563723123,0.010507573053547643,1.3305070618029685e-07,0.0,False,43800,False
ResCAE-Fixed,2,frozen,0.0005,0.19505798816680908,0.009163141250610352,0.5595720068042852,0.00942121730089874,1.106883413950357e-07,0.0,False,43800,False
ResCAE,2,0.001,1e-06,0.20945954322814941,0.00973135232925415,0.5507915312580465,0.010029787942714849,0.8485547718975641,0.7079997837543488,False,43800,False
ResCAE,2,0.001,1e-05,0.20313340425491333,0.01645529270172119,0.47812770176811403,0.007294383992320329,4.730631905576331e-07,0.7266269564628601,False,43800,False
ResCAE,2,0.001,5e-05,0.20157384872436523,0.016965389251708984,0.4720201895961069,0.007063652497759773,1.5193496284530742e-07,0.8257644891738891,False,43800,False
ResCAE,2,0.001,0.0001,0.20176368951797485,0.016990244388580322,0.454342469649468,0.00700169654571655,5.806234520694076e-07,0.8388937711715698,False,43800,False
ResCAE,2,0.001,0.0005,0.20103693008422852,0.016963660717010498,0.5005333903986222,0.007089678130860981,3.1605629055884685e-07,0.8877093315124511,False,43800,False
ResCAE,2,0.005,1e-06,0.20818650722503662,0.008985400199890137,0.5181980001224218,0.010206640990288897,0.9138899822203526,0.7906538128852845,False,43800,False
ResCAE,2,0.005,1e-05,0.19335627555847168,0.01716560125350952,0.4849374448671542,0.007003953176275729,4.902898322448581e-07,0.7188606023788452,False,43800,False
ResCAE,2,0.005,5e-05,0.1837279200553894,0.017247140407562256,0.47669457741046345,0.0069648981552912085,5.614920318549629e-07,0.8644370317459107,False,43800,False
