Model,config_key,K,lam_lin,lam_nonlin,seed,selected_by_validation,pred_r2,sharpe,phi,drift
ResCAE,"cae:(2, 0.001, 1e-06)",2,0.001,1e-06,10,False,0.011084556579589844,0.4370346760624103,0.8324675255447904,0.6044550538063049
ResCAE,"cae:(2, 0.001, 1e-06)",2,0.001,1e-06,30,False,0.00856471061706543,0.4758957242332776,0.4141733444914526,0.46284201741218567
ResCAE,"cae:(2, 0.001, 1e-06)",2,0.001,1e-06,45,False,0.011302053928375244,0.6118425574807361,0.9154037937294137,0.8507634997367859
ResCAE,"cae:(2, 0.001, 1e-06)",2,0.001,1e-06,99,False,0.007698535919189453,0.5156049329719278,0.9999999021578029,0.9999998211860657
ResCAE,"cae:(2, 0.001, 1e-06)",2,0.001,1e-06,2048,False,0.007571160793304443,0.5420278405277594,0.7325139309946407,0.6219385266304016
ResCAE,"cae:(2, 0.001, 1e-05)",2,0.001,1e-05,10,False,0.0152243971824646,0.49843621812544253,3.9919741462179626e-07,0.5259909629821777
ResCAE,"cae:(2, 0.001, 1e-05)",2,0.001,1e-05,30,False,0.016051530838012695,0.42796805382280795,8.649987669213108e-08,0.8888089656829834
ResCAE,"cae:(2, 0.001, 1e-05)",2,0.001,1e-05,45,False,0.01722174882888794,0.5182265931641583,1.1018533317582675e-06,0.8322374224662781
ResCAE,"cae:(2, 0.001, 1e-05)",2,0.001,1e-05,99,False,0.0167580246925354,0.4161280715390536,2.331840246089445e-07,0.7279783487319946
ResCAE,"cae:(2, 0.001, 1e-05)",2,0.001,1e-05,2048,False,0.015927255153656006,0.43532708049141117,4.1339376810433506e-07,0.6581190824508667
ResCAE,"cae:(2, 0.001, 5e-05)",2,0.001,5e-05,10,False,0.01599675416946411,0.4547961277763317,3.983136004870369e-08,0.7106474041938782
ResCAE,"cae:(2, 0.001, 5e-05)",2,0.001,5e-05,30,False,0.016198039054870605,0.4299359153120725,3.8512660792737003e-07,0.889290452003479
ResCAE,"cae:(2, 0.001, 5e-05)",2,0.001,5e-05,45,False,0.017231345176696777,0.48755576134248185,1.1807643728674481e-07,0.8784876465797424
ResCAE,"cae:(2, 0.001, 5e-05)",2,0.001,5e-05,99,False,0.017348766326904297,0.43421871385207933,3.850178692627567e-08,0.782262921333313
ResCAE,"cae:(2, 0.001, 5e-05)",2,0.001,5e-05,2048,False,0.016774356365203857,0.48141193777455527,5.271707215230871e-07,0.8681340217590332
ResCAE,"cae:(2, 0.001, 0.0001)",2,0.001,0.0001,10,False,0.016009390354156494,0.4693933093670793,7.61458520066513e-07,0.7092396020889282
ResCAE,"cae:(2, 0.001, 0.0001)",2,0.001,0.0001,30,False,0.016328275203704834,0.42731387193048076,5.917212788365628e-07,0.8892291784286499
ResCAE,"cae:(2, 0.001, 0.0001)",2,0.001,0.0001,45,False,0.01729649305343628,0.49008253950276265,2.2189945280491685e-07,0.8797696232795715
ResCAE,"cae:(2, 0.001, 0.0001)",2,0.001,0.0001,99,False,0.01732689142227173,0.42744036640811056,6.096002051215364e-07,0.7823768854141235
ResCAE,"cae:(2, 0.001, 0.0001)",2,0.001,0.0001,2048,False,0.01685488224029541,0.4665704202962302,7.587903346438951e-07,0.9338535666465759
ResCAE,"cae:(2, 0.001, 0.0005)",2,0.001,0.0005,10,False,0.01582390069961548,0.46579667554442755,3.7025802829440613e-07,0.7091898322105408
ResCAE,"cae:(2, 0.001, 0.0005)",2,0.001,0.0005,30,False,0.016854286193847656,0.452535552789405,5.102161527857361e-07,0.8907132744789124
ResCAE,"cae:(2, 0.001, 0.0005)",2,0.001,0.0005,45,False,0.0162966251373291,0.7630759414629784,1.8370294893022456e-07,0.9591851234436035
ResCAE,"cae:(2, 0.001, 0.0005)",2,0.001,0.0005,99,False,0.016506731510162354,0.45795461022639605,5.899832225175903e-09,0.9386774301528931
ResCAE,"cae:(2, 0.001, 0.0005)",2,0.001,0.0005,2048,False,0.01653730869293213,0.45240189202633424,1.3086851519327714e-07,0.9407809972763062
ResCAE,"cae:(2, 0.005, 1e-06)",2,0.005,1e-06,10,False,0.011430025100708008,0.4717944047095404,0.9467704546505414,0.8065186142921448
ResCAE,"cae:(2, 0.005, 1e-06)",2,0.005,1e-06,30,False,0.008212924003601074,0.47816384132165807,0.5426907114669937,0.5274093747138977
ResCAE,"cae:(2, 0.005, 1e-06)",2,0.005,1e-06,45,False,0.006653487682342529,0.5324758702132917,0.9999997881302825,0.9998452067375183
ResCAE,"cae:(2, 0.005, 1e-06)",2,0.005,1e-06,99,False,0.006877899169921875,0.525213651358621,0.9999998886686456,0.9998767971992493
ResCAE,"cae:(2, 0.005, 1e-06)",2,0.005,1e-06,2048,False,0.009193599224090576,0.5459560096939722,0.7316886624320467,0.6196190714836121
ResCAE,"cae:(2, 0.005, 1e-05)",2,0.005,1e-05,10,False,0.017467081546783447,0.5792449574659952,9.471002405028247e-07,0.6362996101379395
ResCAE,"cae:(2, 0.005, 1e-05)",2,0.005,1e-05,30,False,0.01725393533706665,0.4417878669500246,1.2234614592703175e-06,0.8620036244392395
