Model,K,λ_lin,λ_nonlin,Total_R2,Pred_R2,Sharpe,CSPE,NL_frac,drift_rel,Collapsed,N_predictions,selected_by_validation,p_dm_vs_pca,p_dm_vs_ipca,p_dm_vs_cae_nl,p_dm_vs_ipca_holm
PCA,2,,,0.32945028366491536,0.014669971743618171,0.43709199794575293,0.00771870576944106,,,False,43800,True,,,,
IPCA,2,,,0.08028818492037015,0.0015948693298371008,0.5252675100488787,0.012662596896082701,,,False,43800,True,,,,
AE,2,,,0.3087981939315796,-0.008843302726745605,0.5134455248904332,0.01495132501033947,,,False,43800,True,,,,
ResCAE-Fixed,2,frozen,1e-05,0.2094443440437317,0.010564684867858887,0.5321910948492353,0.009473344659478359,8.401607597309958e-08,0.0,False,43800,True,0.554037320166455,0.5741503471617901,,1.0
ResCAE,2,0.1,0.0005,0.1587531566619873,0.01737421751022339,0.5017245088044807,0.0069700068498750566,8.552723168891576e-07,0.9166462540626525,False,43800,True,0.26357409989787417,0.1670201066496616,0.06661547825450101,0.8316589907311478
CAE-NL (robustness),2,,1e-05,0.14402854442596436,0.014893710613250732,,0.007617008606600399,,,True,43800,True,,,,
PCA,3,,,0.34619103446104016,0.014819736854935428,0.4378543481511005,0.007650756185738212,,,False,43800,True,,,,
IPCA,3,,,0.09051800472822735,0.0014526236018035377,0.6101262340262663,0.013066311229868765,,,False,43800,True,,,,
AE,3,,,0.32138174772262573,-0.006583213806152344,0.6717341335772978,0.01441464112250686,,,False,43800,True,,,,
ResCAE-Fixed,3,frozen,1e-05,0.2167363166809082,0.012794852256774902,0.5820859291754024,0.009276675987758897,7.372148759786429e-08,0.0,False,43800,True,0.7223462550744901,0.44282078906521616,,1.0
ResCAE,3,0.1,5e-05,0.16681790351867676,0.016438007354736328,0.5883140915330553,0.0070257152759299136,2.2003699004361247e-07,0.8603299260139465,False,43800,True,0.4967518680845715,0.19867425470003486,0.1693642085224243,0.8316589907311478
CAE-NL (robustness),3,,0.0005,0.14320582151412964,0.014602303504943848,,0.007749232485370959,,,True,43800,True,,,,
PCA,5,,,0.36529421105759585,0.014770354676212016,0.4319032426191381,0.007673227744704219,,,False,43800,True,,,,
IPCA,5,,,0.10392375285349564,0.0008315679124686337,0.8193353001987054,0.012974261950923627,,,False,43800,True,,,,
AE,5,,,0.3205289840698242,0.0013105273246765137,0.5239632412592332,0.012358716124900786,,,False,43800,True,,,,
ResCAE-Fixed,5,frozen,1e-06,0.2181168794631958,0.010187387466430664,0.6847523392616992,0.010464996482046018,0.13135329609742216,0.0,False,43800,True,0.5760117248731709,0.5967044213713865,,1.0
ResCAE,5,0.005,5e-05,0.18179118633270264,0.01698613166809082,0.9275053802719267,0.0072246751710366135,1.160251253849995e-07,0.8449746966362,False,43800,True,0.4833362734237979,0.20054102953350406,0.051480921932116466,0.8316589907311478
CAE-NL (robustness),5,,0.0005,0.1419205665588379,0.014783382415771484,,0.0076672882984603966,,,True,43800,True,,,,
PCA,8,,,0.3874937539602227,0.015162172456562817,0.6081012859651412,0.007493075703309812,,,False,43800,True,,,,
IPCA,8,,,0.12314871579581943,-0.00039887313638886646,0.8291390897668655,0.013030551161011952,,,False,43800,True,,,,
AE,8,,,0.32475847005844116,-0.0033032894134521484,-0.2645823659432859,0.013598155190241809,,,False,43800,True,,,,
ResCAE-Fixed,8,frozen,1e-06,0.21725201606750488,0.009010732173919678,0.7643428664708758,0.010796287527456634,0.11570989030508357,0.0,False,43800,True,0.4818888096092996,0.608005270478069,,1.0
ResCAE,8,0.1,5e-05,0.18618696928024292,0.017304301261901855,0.7102682848337163,0.007653590787992159,1.0006155808337716e-07,0.8406405329704285,False,43800,True,0.501299696698231,0.16633179814622956,0.04060801499468309,0.8316589907311478
CAE-NL (robustness),8,,1e-05,0.14335590600967407,0.01428157091140747,,0.007892206142529638,,,True,43800,True,,,,
PCA,10,,,0.40824776009543073,0.015397828862386942,0.7138604815577143,0.0073826075665182215,,,False,43800,True,,,,
IPCA,10,,,0.13288992909365072,-3.5829435375722696e-05,0.7427585407589384,0.013031989236104675,,,False,43800,True,,,,
AE,10,,,0.32116854190826416,-5.316734313964844e-05,-0.17933185366350382,0.012737605162070101,,,False,43800,True,,,,
ResCAE-Fixed,10,frozen,1e-05,0.22200065851211548,0.010953545570373535,0.797127898440568,0.009893582651044616,0.04090381213290514,0.0,False,43800,True,0.5692568853545271,0.5288084238224044,,1.0
ResCAE,10,0.1,0.0001,0.19568175077438354,0.01712554693222046,0.7716648013436556,0.007345602225578466,4.604141737707913e-08,0.84521404504776,False,43800,True,0.5649520817823234,0.17274000749621787,0.03155283514558442,0.8316589907311478
CAE-NL (robustness),10,,5e-05,0.1412220597267151,0.013428688049316406,,0.008260391298930593,,,True,43800,True,,,,
